previous_donations,business_type,location,donated
3,Restaurant,Downtown,1
1,Grocery Store,Uptown,0
5,Cafe,Downtown,1
0,Restaurant,Suburban,0
2,Grocery Store,Suburban,1
4,Cafe,Uptown,1
1,Restaurant,Uptown,0
3,Grocery Store,Downtown,1
6,Cafe,Suburban,1
2,Restaurant,Downtown,0
7,Grocery Store,Uptown,1
0,Cafe,Suburban,0
1,Restaurant,Suburban,1
8,Grocery Store,Downtown,1
2,Cafe,Uptown,0
9,Restaurant,Uptown,1
0,Grocery Store,Suburban,0
3,Cafe,Downtown,1
1,Restaurant,Suburban,0
5,Grocery Store,Uptown,1
2,Cafe,Downtown,0
4,Restaurant,Uptown,1
0,Grocery Store,Suburban,0
6,Cafe,Downtown,1
1,Restaurant,Suburban,0
7,Grocery Store,Uptown,1
2,Cafe,Downtown,0
8,Restaurant,Uptown,1
0,Grocery Store,Suburban,0
9,Cafe,Downtown,1
1,Restaurant,Suburban,0
2,Grocery Store,Uptown,1
3,Cafe,Downtown,0
4,Restaurant,Uptown,1
5,Grocery Store,Suburban,0
6,Cafe,Downtown,1
7,Restaurant,Suburban,0
8,Grocery Store,Uptown,1
9,Cafe,Downtown,0
3,Restaurant,Uptown,1
1,Grocery Store,Suburban,0
5,Cafe,Downtown,1
0,Restaurant,Suburban,0
2,Grocery Store,Uptown,1
4,Cafe,Downtown,1
1,Restaurant,Uptown,0
3,Grocery Store,Suburban,1
6,Cafe,Downtown,1
2,Restaurant,Suburban,0
7,Grocery Store,Uptown,1
0,Cafe,Downtown,0
1,Restaurant,Uptown,1
8,Grocery Store,Suburban,0
2,Cafe,Downtown,0
9,Restaurant,Suburban,1
3,Grocery Store,Uptown,1
1,Cafe,Downtown,0
5,Restaurant,Suburban,1
0,Grocery Store,Downtown,0
2,Cafe,Uptown,1
4,Restaurant,Suburban,1
1,Grocery Store,Downtown,0
3,Cafe,Uptown,1
6,Restaurant,Suburban,1
2,Grocery Store,Downtown,0
7,Cafe,Uptown,1
0,Restaurant,Suburban,0
1,Grocery Store,Downtown,1
8,Cafe,Uptown,1

